Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,SaleType,SaleCondition,SalePrice,BsmtQual_ord,BsmtCond_ord,BsmtExposure_ord,BsmtFinType1_ord,BsmtFinType2_ord,HasBsmt,GarageType_ord,GarageFinish_ord,GarageQual_ord,GarageCond_ord,GarageAge,HasGarage,HouseAge,RemodAge,MoSold_sin,MoSold_cos,HasMisc,FireplaceQu_ord,PoolHighOutlier,Alley_Grvl,Alley_Pave,HasFence,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw
11,20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,906,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,1,384,Y,0,0,0,0,0,0,0,2008,WD,Normal,129500,2,3,1,3,1,1,2,,3,3,43.0,1,43,43,0.8660254037844386,0.5000000000000001,0,0,0,False,False,0,False,False,False,False
12,60,RL,85.0,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,998,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,3,736,Y,147,21,0,0,0,0,0,2006,New,Partial,345000,4,3,1,6,1,1,5,,3,3,1.0,1,1,0,-0.4999999999999998,-0.8660254037844388,0,4,0,False,False,0,False,False,False,False
13,20,RL,0.0,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,737,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,1,352,Y,140,0,0,0,176,0,0,2008,WD,Normal,144000,2,3,1,5,1,1,2,,3,3,46.0,1,46,46,-1.0,-1.8369701987210297e-16,0,0,0,False,False,0,False,False,False,False
14,20,RL,91.0,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,0,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,3,840,Y,160,33,0,0,0,0,0,2007,New,Partial,279500,3,3,3,1,1,1,4,,3,3,1.0,1,1,0,-0.8660254037844384,-0.5000000000000004,0,4,0,False,False,0,False,False,False,False
15,20,RL,0.0,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,733,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,1,352,Y,0,213,176,0,0,0,0,2008,WD,Normal,157000,2,3,1,4,1,1,4,,3,3,48.0,1,48,48,0.49999999999999994,-0.8660254037844387,0,2,0,False,False,1,False,True,False,False
16,45,RM,51.0,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,0,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,2,576,Y,48,112,0,0,0,0,0,2007,WD,Normal,132000,2,3,1,1,1,1,2,,3,3,16.0,1,78,6,-0.4999999999999998,-0.8660254037844388,0,0,0,False,False,1,True,False,False,False
17,20,RL,0.0,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,578,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,2,480,Y,0,0,0,0,0,0,700,2010,WD,Normal,149000,2,3,1,5,1,1,4,,3,3,40.0,1,40,40,1.0,6.123233995736766e-17,1,3,0,False,False,0,False,False,False,False
18,90,RL,72.0,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,0,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,2,516,Y,0,0,0,0,0,0,500,2006,WD,Normal,90000,0,0,0,0,0,0,1,,3,3,39.0,1,39,39,-0.8660254037844386,0.5000000000000001,1,0,0,False,False,0,False,False,False,False
19,20,RL,66.0,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,646,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,2,576,Y,0,102,0,0,0,0,0,2008,WD,Normal,159000,2,3,1,6,1,1,2,,3,3,4.0,1,4,4,1.2246467991473532e-16,-1.0,0,0,0,False,False,0,False,False,False,False
20,20,RL,70.0,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,504,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,1,294,Y,0,0,0,0,0,0,0,2009,COD,Abnorml,139000,2,3,1,2,1,1,4,,3,3,51.0,1,51,44,0.49999999999999994,-0.8660254037844387,0,0,0,False,False,1,False,False,True,False
21,60,RL,101.0,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,0,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,3,853,Y,240,154,0,0,0,0,0,2006,New,Partial,325300,4,3,3,1,1,1,5,,3,3,1.0,1,1,0,-0.5000000000000004,0.8660254037844384,0,4,0,False,False,0,False,False,False,False
22,45,RM,57.0,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,0,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,1,280,N,0,0,205,0,0,0,0,2007,WD,Normal,139400,2,3,1,1,1,1,4,,3,3,77.0,1,77,57,1.2246467991473532e-16,-1.0,0,4,0,True,False,1,True,False,False,False
23,20,RL,75.0,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,0,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,2,534,Y,171,159,0,0,0,0,0,2008,WD,Normal,230000,3,3,1,1,1,1,4,,3,3,6.0,1,6,6,-1.0,-1.8369701987210297e-16,0,4,0,False,False,0,False,False,False,False
24,120,RM,44.0,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,840,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,2,572,Y,100,110,0,0,0,0,0,2007,WD,Normal,129900,3,3,1,6,1,1,4,,3,3,31.0,1,31,31,1.2246467991473532e-16,-1.0,0,3,0,False,False,0,False,False,False,False
25,20,RL,0.0,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,188,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,1,270,Y,406,90,0,0,0,0,0,2010,WD,Normal,154000,2,3,2,3,5,1,4,,3,3,42.0,1,42,9,0.49999999999999994,-0.8660254037844387,0,3,0,False,False,1,False,False,True,False
26,20,RL,110.0,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,0,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,3,890,Y,0,56,0,0,0,0,0,2009,WD,Normal,256300,3,3,1,1,1,1,4,,3,3,2.0,1,2,2,-0.4999999999999998,-0.8660254037844388,0,4,0,False,False,0,False,False,False,False
27,20,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,234,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,2,576,Y,222,32,0,0,0,0,0,2010,WD,Normal,134800,2,3,2,4,3,1,2,,3,3,5.0,1,59,10,0.49999999999999994,-0.8660254037844387,0,0,0,False,False,0,False,False,False,False
28,20,RL,98.0,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,1218,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,3,772,Y,0,50,0,0,0,0,0,2010,WD,Normal,306000,4,3,1,6,1,1,4,,3,3,2.0,1,3,2,0.49999999999999994,-0.8660254037844387,0,4,0,False,False,0,False,False,False,False
29,20,RL,47.0,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,1277,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,1,319,Y,288,258,0,0,0,0,0,2006,WD,Normal,207500,2,3,4,4,1,1,4,,3,3,49.0,1,49,9,-2.4492935982947064e-16,1.0,0,4,0,False,False,0,False,False,False,False
30,30,RM,60.0,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,0,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,1,240,Y,49,0,87,0,0,0,0,2008,WD,Normal,68500,2,3,1,1,1,1,2,,2,3,88.0,1,81,58,0.49999999999999994,-0.8660254037844387,0,0,0,False,False,0,False,False,False,False
31,70,C (all),50.0,8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,0,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,1,250,N,0,54,172,0,0,0,0,2008,WD,Normal,40000,2,3,1,1,1,1,2,,3,2,88.0,1,88,58,-0.4999999999999998,-0.8660254037844388,0,0,0,False,True,1,False,False,True,False
32,20,RL,0.0,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,0,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,1,271,Y,0,65,0,0,0,0,0,2008,WD,Normal,149350,2,3,1,1,1,1,4,,3,3,42.0,1,42,2,1.2246467991473532e-16,-1.0,0,0,0,False,False,1,False,False,True,False
33,20,RL,85.0,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,0,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,2,484,Y,0,30,0,0,0,0,0,2008,WD,Normal,179900,4,3,3,1,1,1,4,,3,3,1.0,1,1,1,0.49999999999999994,0.8660254037844387,0,0,0,False,False,0,False,False,False,False
34,20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,1018,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,2,447,Y,0,38,0,0,0,0,0,2010,WD,Normal,165500,2,3,1,3,1,1,4,,3,3,51.0,1,51,51,0.8660254037844387,-0.49999999999999983,0,4,0,False,False,0,False,False,False,False
35,120,RL,60.0,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,1153,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,2,556,Y,203,47,0,0,0,0,0,2007,WD,Normal,277500,4,3,1,6,1,1,4,,3,3,2.0,1,2,2,-0.8660254037844384,-0.5000000000000004,0,4,0,False,False,0,False,False,False,False
36,60,RL,108.0,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,0,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,3,691,Y,113,32,0,0,0,0,0,2006,WD,Normal,309000,4,3,3,1,1,1,5,,3,3,2.0,1,2,1,-1.0,-1.8369701987210297e-16,0,4,0,False,False,0,False,False,False,False
37,20,RL,112.0,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,0,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,2,672,Y,392,64,0,0,0,0,0,2009,WD,Normal,145000,3,3,1,1,1,1,4,,3,3,14.0,1,15,14,1.2246467991473532e-16,-1.0,0,0,0,False,False,0,False,False,False,False
38,20,RL,74.0,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,1213,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,2,498,Y,0,0,0,0,0,0,0,2009,WD,Normal,153000,2,3,1,3,1,1,4,,3,3,55.0,1,55,19,-0.8660254037844386,0.5000000000000001,0,3,0,False,False,0,False,False,False,False
39,20,RL,68.0,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,731,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,1,246,Y,0,52,0,0,0,0,0,2010,WD,Abnorml,109000,2,3,1,6,1,1,2,,3,3,57.0,1,57,3,0.49999999999999994,0.8660254037844387,0,0,0,False,False,0,False,False,False,False
40,90,RL,65.0,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,0,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,0,0,N,0,0,0,0,0,0,0,2008,WD,AdjLand,82000,0,0,0,0,0,0,0,0.0,0,0,0.0,0,53,53,1.2246467991473532e-16,-1.0,0,0,0,False,False,0,False,False,False,False
41,20,RL,84.0,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,643,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,2,440,Y,0,138,0,0,0,0,0,2006,WD,Abnorml,160000,2,3,1,3,1,1,4,,3,3,41.0,1,41,41,-2.4492935982947064e-16,1.0,0,3,0,False,False,1,False,True,False,False
42,20,RL,115.0,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,967,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,1,308,P,0,104,0,0,0,0,0,2007,WD,Normal,170000,2,3,4,4,1,1,4,,3,3,48.0,1,48,48,-0.4999999999999998,-0.8660254037844388,0,4,0,False,False,0,False,False,False,False
43,85,RL,0.0,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,747,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,2,504,Y,240,0,0,0,0,0,0,2007,WD,Normal,144000,3,3,3,5,2,1,4,,3,4,24.0,1,24,24,-2.4492935982947064e-16,1.0,0,0,0,False,False,1,False,False,True,False
44,20,RL,0.0,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,280,491,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,1,308,Y,145,0,0,0,0,0,0,2008,WD,Normal,130250,3,3,3,2,4,1,2,,3,3,31.0,1,33,28,-0.4999999999999998,-0.8660254037844388,0,0,0,False,False,1,False,False,True,False
45,20,RL,70.0,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,179,506,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,1,300,Y,0,0,0,0,0,0,0,2006,WD,Normal,141000,2,3,1,5,4,1,4,,3,3,47.0,1,47,47,0.49999999999999994,-0.8660254037844387,0,0,0,False,False,0,False,False,False,False
46,120,RL,61.0,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,456,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,2,576,Y,196,82,0,0,0,0,0,2010,WD,Normal,319900,4,3,1,6,1,1,4,,3,3,5.0,1,5,5,0.8660254037844386,0.5000000000000001,0,4,0,False,False,0,False,False,False,False
47,50,RL,48.0,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,1351,0,83,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,2,670,Y,168,43,0,0,198,0,0,2009,WD,Abnorml,239686,4,3,1,6,1,1,4,,3,3,6.0,1,6,6,-0.8660254037844384,-0.5000000000000004,0,5,0,False,False,0,False,False,False,False
